key	en_US	ja_JP
LOGGER_CONFIG_KEY	Configuration Key: %#1s	ロガー設定キー: %#1s
LOGGER_INVAID_CONF_KEY	Configuration Key "%#1s" is invalid	ロガー設定キー "%#1s" が不正です
LOGGER_SETTING	Logger Setting:	ロガー設定：
MACRO_ALREADY_USED	Macro variable "%#1s" is already used.	マクロ変数 "%#1s" はすでに使われています。
MACRO_ARGS_OFF	Macro arguments is HIDDEN	マクロ引数は非表示です
MACRO_ARGS_ON	Macro arguments is SHOWN	マクロ引数は表示されます
MACRO_DEPTH_OFF	Macro depth is HIDDEN	マクロ深度は非表示です
MACRO_DEPTH_ON	Macro depth is SHOWN	マクロ深度は表示されます
MACRO_NAME_TOO_LONG	Cannot make accessor macro function for "%#1s" because length of variable is too long.	変数名が長すぎて変数 %#1s 用のアクセスマクロが作成できません
MACRO_REMAINS	%#1s global marcro variable(s) generated by RSU Package remains wrongly… Deleting	%#1s 個のグローバルマクロ変数が不正に残存しています。削除します。
MACRO_TRACE_OFF	Macro tracing is DISABLED	マクロ追跡は無効です
MACRO_TRACE_ON	Macro tracing is ENABLED	マクロ追跡は有効です
MACRO_VAR_BLANK	Macro variable "%#1s" is blank.	マクロ変数 "%#1s" が空です。
NO_DATASET	No dataset found mached to reguler expression: %#1s	正規表現 %#1s にマッチするデータセットがありません
NO_DEF_EXCEL	Excel worksheet of table defition for "%#1s" not found.	テーブル定義ワークシート "%#1s" が見つかりません
NO_EXCEL_SHEET	Excel book "%#1s" does not have worksheet "%#2s".	エクセルブック "%#1s" にワークシート "%#2s" が見つかりません
NO_KEY	Key "%#1s" not found	キー %#1s が見つかりません
NO_OBSERVATION	No obserbation found in dataset	データセットにオブザベーションがありません
NOT_EXCEL	File must be an Excel file(.xlsx file)	ファイルがエクセルファイルではありません（.xlsx ファイル）
QUEUE_EMPTY	This queue is emoty	キューは空です
SESSION_CLOSED	Session will be terminated	セッションは切断されます
MSG_SET_CONSTANT	Constant global macro variable "%#1s" is set to "%#2s".	グローバル定数 "%#1s" の値を "%#2s" に設定しました
SET_SYSTEM_OPTION	Setting system option: options %#1s	システムオプション設定：options  %#1s
SHOW_RECORD	Only %#1s record(s) out of %#2s record(s) are shown.	全%#2s レコード中 %#1s レコードが表示されました
STACK_EMPTY	This stack is empty	スタックは空です
STRUCT_LOCKED	This Struct is locked	このStructはロックされています
STRUCT_NAME_DEFINED	Struct name "%#1s" already defined.	Struct名称 "%#1s" は既に定義されています。
STRUCT_NAME_NOT_FOUND	Struct name "%#1s" not found… Entry (%#1s, %#2s) added	Struct名称 "%#1s" は見つかりません。(%#1s, %#2s)が追加されます。
SYS_ERROR	System function error occurred: %#1s. (Code: %#2s)  	システム関数呼び出し時にエラーが発生しました: %#1s （実行コード: %#2s）
TEST	It's fine today	本日は晴天なり。
TIMER_LAP_TIME	Lap#%#1s: %#2s	ラップ#%#1s: %#2s
TIMER_NOTSTART	Timer not started	タイマーは作動していません
TIMER_START	Timer start	タイマースタート
TIMER_STOP	Timer stop	タイマーストップ
TIMER_TOTAL_TIME	Total time: %#1s	総経過時間: %#1s
MSG_CONV_ERR_CHAR	Conversion error %#1s vs. %#2s	変換エラー %#1s vs. %#2s
